price,area,bedrooms,bathrooms,stories,parking,mainroad_yes,guestroom_yes,basement_yes,hotwaterheating_yes,airconditioning_yes,prefarea_yes,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,ProximityToSchool_Far,ProximityToTransport_Far,ProximityToSchool,ProximityToTransport
8120000,6840,5,1,2,1,True,True,True,False,True,False,False,False,True,False,Far,Close
8080940,7000,3,2,4,2,True,False,False,False,True,False,False,False,True,True,Close,Close
8043000,7482,3,2,3,1,True,False,False,True,False,True,False,False,True,False,Far,Close
7980000,9000,4,2,4,2,True,False,False,False,True,False,False,False,True,True,Close,Far
7962500,6000,3,1,4,2,True,True,False,False,True,False,False,True,False,True,Close,Far
7910000,6000,4,2,4,1,True,False,False,False,True,False,True,False,False,False,Far,Close
7875000,6550,3,1,2,0,True,False,True,False,True,True,False,False,True,True,Close,Far
7840000,6360,3,2,4,0,True,False,False,False,True,True,False,False,True,False,Close,Far
7700000,6480,3,2,4,2,True,False,False,False,True,False,False,True,True,True,Far,Close
7700000,6000,4,2,4,2,True,False,False,False,False,False,True,False,True,False,Close,Close
7560000,6000,4,2,4,1,True,False,False,False,True,False,False,False,True,True,Far,Close
7560000,6000,3,2,3,0,True,False,False,False,True,False,True,False,True,True,Far,Far
7525000,6000,3,2,4,1,True,False,False,False,True,False,False,False,True,False,Far,Close
7490000,6600,3,1,4,3,True,False,False,False,True,True,False,False,True,True,Close,Close
7455000,4300,3,2,2,1,True,False,True,False,False,False,False,True,True,False,Far,Close
7420000,7440,3,2,1,0,True,True,True,False,True,True,True,False,True,True,Far,Far
7420000,7440,3,2,4,1,True,False,False,False,False,True,False,True,False,False,Far,Close
7420000,6325,3,1,4,1,True,False,False,False,True,False,False,True,False,False,Close,Far
7350000,6000,4,2,4,1,True,True,False,False,True,False,False,False,True,False,Far,Close
7350000,5150,3,2,4,2,True,False,False,False,True,False,True,False,True,True,Far,Close
7350000,6000,3,2,2,1,True,True,False,False,True,False,True,False,True,False,Far,Close
7350000,6000,3,1,2,1,True,False,False,False,True,False,False,True,True,False,Close,Close
7343000,11440,4,1,2,1,True,False,True,False,False,True,True,False,True,False,Close,Far
7245000,9000,4,2,4,1,True,True,False,False,True,True,False,False,False,True,Far,Far
7210000,7680,4,2,4,1,True,True,False,False,True,False,True,False,False,False,Close,Close
7210000,6000,3,2,4,1,True,True,False,False,True,False,False,False,False,False,Close,Close
7140000,6000,3,2,2,1,True,True,False,False,False,False,True,False,True,False,Close,Close
7070000,8880,2,1,1,1,True,False,False,False,True,False,True,False,False,True,Far,Close
7070000,6240,4,2,2,1,True,False,False,False,True,False,False,False,True,False,Far,Close
7035000,6360,4,2,3,2,True,False,False,False,True,True,False,False,True,False,Close,Far
7000000,11175,3,1,1,1,True,False,True,False,True,True,False,False,True,True,Far,Close
6930000,8880,3,2,2,1,True,False,True,False,True,False,False,False,True,False,Far,Close
6930000,13200,2,1,1,1,True,False,True,True,False,False,False,False,True,False,Far,Far
6895000,7700,3,2,1,2,True,False,False,False,False,False,False,True,True,False,Far,Far
6860000,6000,3,1,1,1,True,False,False,False,True,False,False,False,True,True,Far,Close
6790000,12090,4,2,2,2,True,False,False,False,False,True,False,False,False,True,Far,Close
6790000,4000,3,2,2,0,True,False,True,False,True,True,True,False,True,False,Close,Far
6755000,6000,4,2,4,0,True,False,False,False,True,False,False,True,False,True,Far,Far
6720000,5020,3,1,4,0,True,False,False,False,True,True,False,True,True,True,Close,Far
6685000,6600,2,2,4,0,True,False,True,False,False,True,False,False,True,True,Far,Far
6650000,4040,3,1,2,1,True,False,True,True,False,False,False,False,False,False,Far,Far
6650000,4260,4,2,2,0,True,False,False,True,False,False,True,False,False,False,Close,Far
6650000,6420,3,2,3,0,True,False,False,False,True,True,False,False,True,True,Far,Far
6650000,6500,3,2,3,0,True,False,False,False,True,True,False,False,False,False,Far,Far
6650000,5700,3,1,1,2,True,True,True,False,True,True,False,False,True,True,Close,Far
6650000,6000,3,2,3,0,True,True,False,False,True,False,False,False,True,False,Close,Close
6629000,6000,3,1,2,1,True,False,False,True,False,True,True,False,False,False,Far,Close
6615000,4000,3,2,2,1,True,False,True,False,True,False,True,False,False,True,Close,Far
6615000,10500,3,2,1,1,True,False,True,False,True,True,False,False,True,False,Far,Close
6580000,6000,3,2,4,0,True,False,False,False,True,False,True,False,True,False,Far,Close
6510000,3760,3,1,2,2,True,False,False,True,False,False,True,False,True,False,Far,Close
6510000,8250,3,2,3,0,True,False,False,False,True,False,False,False,False,True,Close,Far
6510000,6670,3,1,3,0,True,False,True,False,False,True,False,True,False,False,Far,Close
6475000,3960,3,1,1,2,True,False,True,False,False,False,True,False,True,False,Far,Close
6475000,7410,3,1,1,2,True,True,True,False,True,True,False,True,True,False,Far,Far
6440000,8580,5,3,2,2,True,False,False,False,False,False,False,False,True,False,Close,Close
6440000,5000,3,1,2,0,True,False,False,False,True,False,True,False,True,False,Close,Close
6419000,6750,2,1,1,2,True,True,True,False,False,True,False,False,False,False,Far,Close
6405000,4800,3,2,4,0,True,True,False,False,True,False,False,False,True,False,Far,Close
6300000,7200,3,2,1,3,True,False,True,False,True,False,True,False,True,True,Far,Far
6300000,6000,4,2,4,1,True,False,False,False,False,False,True,False,True,False,Close,Close
6300000,4100,3,2,3,2,True,False,False,False,True,False,True,False,False,False,Far,Close
6300000,9000,3,1,1,1,True,False,True,False,False,True,False,False,False,False,Far,Close
6300000,6400,3,1,1,1,True,True,True,False,True,True,True,False,True,True,Close,Far
6293000,6600,3,2,3,0,True,False,False,False,True,True,False,True,True,False,Far,Close
6265000,6000,4,1,3,0,True,True,True,False,False,True,False,True,False,True,Far,Close
6230000,6600,3,2,1,0,True,False,True,False,True,True,False,True,False,False,Close,Close
6230000,5500,3,1,3,1,True,False,False,False,False,True,False,True,True,True,Far,Close
6195000,5500,3,2,4,1,True,True,False,False,True,False,True,False,True,True,Far,Close
6195000,6350,3,2,3,0,True,True,False,False,True,False,False,False,True,False,Far,Close
6195000,5500,3,2,1,2,True,True,True,False,False,True,False,False,False,True,Far,Far
6160000,4500,3,1,4,0,True,False,False,False,True,False,False,True,True,False,Far,Close
6160000,5450,4,2,1,0,True,False,True,False,True,True,True,False,True,False,Close,Far
6125000,6420,3,1,3,0,True,False,True,False,False,True,False,True,True,False,Far,Close
6107500,3240,4,1,3,1,True,False,False,False,False,False,True,False,True,False,Far,Close
6090000,6615,4,2,2,1,True,True,False,True,False,False,True,False,True,False,Far,Close
6090000,6600,3,1,1,2,True,True,True,False,False,True,True,False,True,False,Close,Far
6090000,8372,3,1,3,2,True,False,False,False,True,False,False,True,True,False,Far,Far
6083000,4300,6,2,2,0,True,False,False,False,False,False,False,False,True,True,Close,Close
6083000,9620,3,1,1,2,True,False,True,False,False,True,False,False,True,False,Close,Close
6020000,6800,2,1,1,2,True,True,True,False,False,False,False,False,True,False,Far,Close
6020000,8000,3,1,1,2,True,True,True,False,True,True,True,False,False,True,Close,Close
6020000,6900,3,2,1,0,True,True,True,False,False,True,False,True,False,False,Far,Close
5950000,3700,4,1,2,0,True,True,False,False,True,False,False,False,True,True,Far,Far
5950000,6420,3,1,1,0,True,False,True,False,True,True,False,False,True,False,Far,Far
5950000,7020,3,1,1,2,True,False,True,False,True,True,True,False,False,False,Far,Far
5950000,6540,3,1,1,2,True,True,True,False,False,True,False,False,False,False,Close,Close
5950000,7231,3,1,2,0,True,True,True,False,True,True,True,False,False,False,Far,Far
5950000,6254,4,2,1,1,True,False,True,False,False,True,True,False,True,False,Close,Far
5950000,7320,4,2,2,0,True,False,False,False,False,False,False,False,True,False,Close,Far
5950000,6525,3,2,4,1,True,False,False,False,False,False,False,False,True,False,Far,Far
5943000,15600,3,1,1,2,True,False,False,False,True,False,True,False,False,False,Far,Far
5880000,7160,3,1,1,2,True,False,True,False,False,True,False,True,False,False,Far,Close
5880000,6500,3,2,3,0,True,False,False,False,True,False,False,True,True,True,Far,Far
5873000,5500,3,1,3,1,True,True,False,False,True,False,False,False,False,True,Close,Far
5873000,11460,3,1,3,2,True,False,False,False,False,True,True,False,True,False,Close,Far
5866000,4800,3,1,1,0,True,True,True,False,False,False,False,True,True,False,Far,Far
5810000,5828,4,1,4,0,True,True,False,False,False,False,True,False,True,False,Far,Close
5810000,5200,3,1,3,0,True,False,False,False,True,False,True,False,True,False,Close,Close
5810000,4800,3,1,3,0,True,False,False,False,True,False,False,True,False,True,Close,Far
5803000,7000,3,1,1,2,True,False,True,False,False,True,True,False,False,False,Close,Close
5775000,6000,3,2,4,0,True,False,False,False,True,False,False,True,False,False,Close,Close
5740000,5400,4,2,2,2,True,False,False,False,True,False,False,True,True,True,Far,Far
5740000,4640,4,1,2,1,True,False,False,False,False,False,True,False,True,False,Far,Close
5740000,5000,3,1,3,0,True,False,False,False,True,False,True,False,False,True,Far,Close
5740000,6360,3,1,1,2,True,True,True,False,True,True,False,False,False,False,Close,Far
5740000,5800,3,2,4,0,True,False,False,False,True,False,False,True,True,True,Close,Far
5652500,6660,4,2,2,1,True,True,True,False,False,True,True,False,True,True,Far,Far
5600000,10500,4,2,2,1,True,False,False,False,False,False,True,False,True,True,Far,Close
5600000,4800,5,2,3,0,False,False,True,True,False,False,False,True,False,True,Close,Far
5600000,4700,4,1,2,1,True,True,True,False,True,False,False,False,True,False,Far,Close
5600000,5000,3,1,4,0,True,False,False,False,False,False,False,False,True,False,Close,Close
5600000,10500,2,1,1,1,True,False,False,False,False,False,True,False,False,True,Close,Close
5600000,5500,3,2,2,1,True,False,False,False,False,False,True,False,True,False,Close,Close
5600000,6360,3,1,3,0,True,False,False,False,False,True,True,False,True,False,Close,Close
5600000,6600,4,2,1,0,True,False,True,False,False,True,True,False,False,False,Far,Close
5600000,5136,3,1,2,0,True,True,True,False,True,True,False,True,False,False,Far,Far
5565000,4400,4,1,2,2,True,False,False,False,True,True,True,False,False,False,Far,Close
5565000,5400,5,1,2,0,True,True,True,False,True,True,False,False,True,True,Far,Close
5530000,3300,3,3,2,0,True,False,True,False,False,False,True,False,True,False,Close,Close
5530000,3650,3,2,2,2,True,False,False,False,False,False,True,False,False,True,Far,Far
5530000,6100,3,2,1,2,True,False,True,False,False,True,False,False,True,True,Close,Close
5523000,6900,3,1,1,0,True,True,True,False,False,True,True,False,True,False,Close,Close
5495000,2817,4,2,2,1,False,True,True,False,False,False,False,False,True,False,Close,Far
5495000,7980,3,1,1,2,True,False,False,False,False,False,True,False,False,False,Far,Close
5460000,3150,3,2,1,0,True,True,True,False,True,False,False,False,True,False,Close,Close
5460000,6210,4,1,4,0,True,True,False,False,True,False,False,False,True,False,Far,Close
5460000,6100,3,1,3,0,True,True,False,False,True,True,True,False,False,True,Far,Close
5460000,6600,4,2,2,0,True,True,True,False,False,True,True,False,True,True,Far,Far
5425000,6825,3,1,1,0,True,True,True,False,True,True,True,False,True,True,Far,Close
5390000,6710,3,2,2,1,True,True,True,False,False,True,False,False,True,False,Far,Close
5383000,6450,3,2,1,0,True,True,True,True,False,False,False,True,True,False,Far,Close
5320000,7800,3,1,1,2,True,False,True,False,True,True,False,True,True,False,Far,Close
5285000,4600,2,2,1,2,True,False,False,False,True,False,True,False,True,True,Close,Close
5250000,4260,4,1,2,0,True,False,True,False,True,False,False,False,False,True,Close,Close
5250000,6540,4,2,2,0,False,False,False,False,True,False,True,False,True,False,Far,Close
5250000,5500,3,2,1,0,True,False,True,False,False,False,True,False,False,True,Far,Far
5250000,10269,3,1,1,1,True,False,False,False,False,True,True,False,True,True,Close,Far
5250000,8400,3,1,2,2,True,True,True,False,True,True,False,True,True,False,Far,Close
5250000,5300,4,2,1,0,True,False,False,False,True,True,False,True,True,False,Far,Close
5250000,3800,3,1,2,1,True,True,True,False,False,True,False,True,True,False,Close,Far
5250000,9800,4,2,2,2,True,True,False,False,False,False,True,False,False,False,Far,Close
5250000,8520,3,1,1,2,True,False,False,False,True,False,False,False,True,True,Far,Close
5243000,6050,3,1,1,0,True,False,True,False,False,True,True,False,False,False,Far,Close
5229000,7085,3,1,1,2,True,True,True,False,False,True,True,False,True,True,Far,Close
5215000,3180,3,2,2,2,True,False,False,False,False,False,True,False,True,False,Close,Close
5215000,4500,4,2,1,2,False,False,True,False,True,False,True,False,False,False,Close,Far
5215000,7200,3,1,2,1,True,True,True,False,False,True,False,False,True,False,Close,Far
5145000,3410,3,1,2,0,False,False,False,False,True,False,True,False,False,True,Far,Close
5145000,7980,3,1,1,1,True,False,False,False,False,True,True,False,False,False,Far,Close
5110000,3000,3,2,2,0,True,True,True,False,False,False,False,False,False,False,Far,Far
5110000,3000,3,1,2,0,True,False,True,False,False,False,False,True,False,False,Close,Close
5110000,11410,2,1,2,0,True,False,False,False,False,True,False,False,False,False,Far,Far
5110000,6100,3,1,1,0,True,False,True,False,True,True,True,False,False,True,Far,Far
5075000,5720,2,1,2,0,True,False,False,False,True,True,False,True,True,True,Far,Close
5040000,3540,2,1,1,0,False,True,True,False,False,False,True,False,False,False,Far,Close
5040000,7600,4,1,2,2,True,False,False,False,True,False,False,False,True,False,Close,Far
5040000,10700,3,1,2,0,True,True,True,False,False,False,True,False,True,False,Far,Close
5040000,6600,3,1,1,0,True,True,True,False,False,True,False,False,True,True,Far,Close
5033000,4800,2,1,1,0,True,True,True,False,False,False,True,False,True,True,Far,Close
5005000,8150,3,2,1,0,True,True,True,False,False,False,True,False,True,True,Far,Far
4970000,4410,4,3,2,2,True,False,True,False,False,False,True,False,True,True,Close,Close
4970000,7686,3,1,1,0,True,True,True,True,False,False,True,False,False,True,Close,Far
4956000,2800,3,2,2,1,False,False,True,False,True,False,True,False,True,False,Close,Far
4935000,5948,3,1,2,0,True,False,False,False,True,False,True,False,True,False,Close,Close
4907000,4200,3,1,2,1,True,False,False,False,False,False,False,False,False,True,Close,Far
4900000,4520,3,1,2,0,True,False,True,False,True,False,True,False,False,False,Close,Far
4900000,4095,3,1,2,0,False,True,True,False,True,False,True,False,True,False,Close,Close
4900000,4120,2,1,1,1,True,False,True,False,False,False,True,False,True,False,Close,Close
4900000,5400,4,1,2,0,True,False,False,False,False,False,True,False,False,True,Close,Far
4900000,4770,3,1,1,0,True,True,True,False,False,False,True,False,False,True,Far,Close
4900000,6300,3,1,1,2,True,False,False,False,True,False,True,False,True,True,Far,Close
4900000,5800,2,1,1,0,True,True,True,False,True,False,True,False,False,True,Far,Far
4900000,3000,3,1,2,0,True,False,True,False,True,False,True,False,False,True,Far,Far
4900000,2970,3,1,3,0,True,False,False,False,False,False,True,False,True,False,Far,Far
4900000,6720,3,1,1,0,True,False,False,False,False,False,False,True,False,False,Far,Far
4900000,4646,3,1,2,2,True,True,True,False,False,False,True,False,False,False,Far,Far
4900000,12900,3,1,1,2,True,False,False,False,False,False,False,False,True,True,Close,Close
4893000,3420,4,2,2,2,True,False,True,False,True,False,True,False,False,False,Far,Close
4893000,4995,4,2,1,0,True,False,True,False,False,False,True,False,True,False,Close,Far
4865000,4350,2,1,1,0,True,False,True,False,False,False,False,True,True,True,Far,Close
4830000,4160,3,1,3,0,True,False,False,False,False,False,False,True,True,True,Far,Far
4830000,6040,3,1,1,2,True,False,False,False,False,True,True,False,True,True,Close,Close
4830000,6862,3,1,2,2,True,False,False,False,True,True,False,False,True,False,Far,Close
4830000,4815,2,1,1,0,True,False,False,False,True,True,True,False,True,False,Close,Close
4795000,7000,3,1,2,0,True,False,True,False,False,False,False,True,True,True,Far,Close
4795000,8100,4,1,4,2,True,False,True,False,True,False,True,False,True,False,Far,Close
4767000,3420,4,2,2,0,True,False,False,False,False,False,True,False,True,False,Far,Far
4760000,9166,2,1,1,2,True,False,True,False,True,False,True,False,False,True,Far,Far
4760000,6321,3,1,2,1,True,False,True,False,True,False,False,False,False,False,Far,Close
4760000,10240,2,1,1,2,True,False,False,False,True,True,False,True,True,False,Far,Far
4753000,6440,2,1,1,3,True,False,False,False,True,False,True,False,True,True,Far,Close
4690000,5170,3,1,4,0,True,False,False,False,True,False,True,False,False,False,Close,Far
4690000,6000,2,1,1,1,True,False,True,False,True,False,False,False,True,True,Close,Far
4690000,3630,3,1,2,2,True,False,False,False,False,False,True,False,True,False,Far,Far
4690000,9667,4,2,2,1,True,True,True,False,False,False,True,False,True,False,Close,Close
4690000,5400,2,1,2,0,True,False,False,False,False,True,True,False,True,True,Far,Far
4690000,4320,3,1,1,0,True,False,False,False,False,True,True,False,False,False,Close,Close
4655000,3745,3,1,2,0,True,False,True,False,False,False,False,False,False,True,Far,Close
4620000,4160,3,1,1,0,True,True,True,False,True,False,False,True,False,False,Close,Close
4620000,3880,3,2,2,2,True,False,True,False,False,False,True,False,True,True,Far,Close
4620000,5680,3,1,2,1,True,True,False,False,True,False,True,False,True,False,Far,Far
4620000,2870,2,1,2,0,True,True,True,False,False,True,True,False,False,True,Far,Far
4620000,5010,3,1,2,0,True,False,True,False,False,False,True,False,False,True,Close,Close
4613000,4510,4,2,2,0,True,False,True,False,False,False,True,False,False,True,Far,Close
4585000,4000,3,1,2,1,True,False,False,False,False,False,False,False,False,False,Far,Far
4585000,3840,3,1,2,1,True,False,False,False,False,True,True,False,True,False,Far,Far
4550000,3760,3,1,1,2,True,False,False,False,False,False,True,False,True,True,Far,Close
4550000,3640,3,1,2,0,True,False,False,False,True,False,False,False,False,True,Far,Far
4550000,2550,3,1,2,0,True,False,True,False,False,False,False,False,True,True,Far,Close
4550000,5320,3,1,2,0,True,True,True,False,False,True,True,False,True,False,Close,Far
4550000,5360,3,1,2,2,True,False,False,False,False,True,False,True,False,True,Far,Close
4550000,3520,3,1,1,0,True,False,False,False,False,True,True,False,False,True,Far,Close
4550000,8400,4,1,4,3,True,False,False,False,False,False,False,True,True,False,Far,Far
4543000,4100,2,2,1,0,True,True,True,False,False,False,True,False,True,False,Close,Close
4543000,4990,4,2,2,0,True,True,True,False,False,True,False,False,True,False,Far,Far
4515000,3510,3,1,3,0,True,False,False,False,False,False,True,False,False,True,Close,Far
4515000,3450,3,1,2,1,True,False,True,False,False,False,True,False,False,False,Close,Far
4515000,9860,3,1,1,0,True,False,False,False,False,False,True,False,True,True,Far,Far
4515000,3520,2,1,2,0,True,False,False,False,False,True,False,False,True,True,Far,Far
4480000,4510,4,1,2,2,True,False,False,False,True,False,True,False,True,False,Far,Close
4480000,5885,2,1,1,1,True,False,False,False,True,False,False,True,True,False,Close,Close
4480000,4000,3,1,2,2,True,False,False,False,False,False,False,False,True,True,Far,Far
4480000,8250,3,1,1,0,True,False,False,False,False,False,False,False,True,False,Close,Close
4480000,4040,3,1,2,1,True,False,False,False,False,False,True,False,False,True,Far,Close
4473000,6360,2,1,1,1,True,False,True,False,True,False,False,False,True,False,Far,Far
4473000,3162,3,1,2,1,True,False,False,False,True,False,False,False,False,False,Far,Close
4473000,3510,3,1,2,0,True,False,False,False,False,False,True,False,True,True,Far,Close
4445000,3750,2,1,1,0,True,True,True,False,False,False,True,False,False,False,Far,Close
4410000,3968,3,1,2,0,False,False,False,False,False,False,True,False,False,True,Close,Close
4410000,4900,2,1,2,0,True,False,True,False,False,False,True,False,True,False,Close,Close
4403000,2880,3,1,2,0,True,False,False,False,False,True,True,False,False,False,Close,Far
4403000,4880,3,1,1,2,True,False,False,False,False,True,False,True,False,False,Close,Close
4403000,4920,3,1,2,1,True,False,False,False,False,False,True,False,False,False,Close,Close
4382000,4950,4,1,2,0,True,False,False,False,True,False,True,False,True,True,Far,Close
4375000,3900,3,1,2,0,True,False,False,False,False,False,False,True,True,True,Far,Far
4340000,4500,3,2,3,1,True,False,False,True,False,False,False,False,True,True,Close,Close
4340000,1905,5,1,2,0,False,False,True,False,False,False,True,False,False,False,Far,Far
4340000,4075,3,1,1,2,True,True,True,False,False,False,True,False,True,False,Close,Close
4340000,3500,4,1,2,2,True,False,False,False,False,False,False,False,False,True,Far,Close
4340000,6450,4,1,2,0,True,False,False,False,False,False,True,False,True,True,Far,Far
4319000,4032,2,1,1,0,True,False,True,False,False,False,False,False,False,False,Far,Close
4305000,4400,2,1,1,1,True,False,False,False,False,False,True,False,True,False,Far,Close
4305000,10360,2,1,1,1,True,False,False,False,False,True,True,False,True,False,Far,Close
4277000,3400,3,1,2,2,True,False,True,False,False,True,True,False,False,False,Far,Close
4270000,6360,2,1,1,0,True,False,False,False,False,False,False,False,True,True,Far,Close
4270000,6360,2,1,2,0,True,False,False,False,False,False,False,True,True,False,Far,Close
4270000,4500,2,1,1,2,True,False,False,False,True,False,False,False,False,False,Far,Far
4270000,2175,3,1,2,0,False,True,True,False,True,False,False,True,True,True,Close,Far
4270000,4360,4,1,2,0,True,False,False,False,False,False,False,False,False,True,Close,Close
4270000,7770,2,1,1,1,True,False,False,False,False,False,False,False,True,False,Far,Close
4235000,6650,3,1,2,0,True,True,False,False,False,False,True,False,False,True,Far,Far
4235000,2787,3,1,1,0,True,False,True,False,False,True,False,False,False,False,Far,Close
4200000,5500,3,1,2,0,True,False,False,False,True,False,False,True,False,False,Close,Far
4200000,5040,3,1,2,0,True,False,True,False,True,False,False,True,False,False,Far,Far
4200000,5850,2,1,1,2,True,True,True,False,False,False,True,False,True,False,Far,Far
4200000,2610,4,3,2,0,False,False,False,False,False,False,True,False,True,True,Close,Close
4200000,2953,3,1,2,0,True,False,True,False,True,False,False,True,False,True,Far,Far
4200000,2747,4,2,2,0,False,False,False,False,False,False,True,False,False,True,Far,Far
4200000,4410,2,1,1,1,False,False,False,False,False,False,False,True,False,False,Close,Close
4200000,4000,4,2,2,0,False,False,False,False,False,False,True,False,False,True,Far,Close
4200000,2325,3,1,2,0,False,False,False,False,False,False,True,False,True,True,Close,Far
4200000,4600,3,2,2,1,True,False,False,False,True,False,True,False,True,True,Far,Far
4200000,3640,3,2,2,0,True,False,True,False,False,False,False,True,False,False,Far,Close
4200000,5800,3,1,1,2,True,False,False,True,False,False,True,False,True,False,Close,Far
4200000,7000,3,1,1,3,True,False,False,False,False,False,False,False,True,False,Far,Close
4200000,4079,3,1,3,0,True,False,False,False,False,False,True,False,False,False,Close,Close
4200000,3520,3,1,2,0,True,False,False,False,False,True,True,False,False,True,Close,Far
4200000,2145,3,1,3,1,True,False,False,False,False,True,False,True,False,False,Close,Close
4200000,4500,3,1,1,0,True,False,True,False,False,False,False,False,True,True,Far,Close
4193000,8250,3,1,1,3,True,False,True,False,False,False,True,False,True,False,Far,Far
4193000,3450,3,1,2,1,True,False,False,False,False,False,True,False,True,False,Far,Far
4165000,4840,3,1,2,1,True,False,False,False,False,False,True,False,True,True,Close,Close
4165000,4080,3,1,2,2,True,False,False,False,False,False,True,False,False,True,Far,Close
4165000,4046,3,1,2,1,True,False,True,False,False,False,True,False,True,True,Far,Far
4130000,4632,4,1,2,0,True,False,False,False,True,False,True,False,True,False,Close,Far
4130000,5985,3,1,1,0,True,False,True,False,False,False,True,False,True,False,Far,Close
4123000,6060,2,1,1,1,True,False,True,False,False,False,True,False,True,False,Far,Close
4098500,3600,3,1,1,0,True,False,True,False,True,True,False,False,False,False,Far,Far
4095000,3680,3,2,2,0,True,False,False,False,False,False,True,False,True,False,Close,Close
4095000,4040,2,1,2,1,True,False,False,False,False,False,True,False,True,False,Far,Close
4095000,5600,2,1,1,0,True,False,False,False,True,False,True,False,False,True,Close,Close
4060000,5900,4,2,2,1,False,False,True,False,False,False,False,True,True,False,Far,Far
4060000,4992,3,2,2,2,True,False,False,False,False,False,False,True,False,False,Far,Close
4060000,4340,3,1,1,0,True,False,False,False,False,False,True,False,False,True,Far,Close
4060000,3000,4,1,3,2,True,False,True,False,True,False,True,False,True,True,Far,Far
4060000,4320,3,1,2,2,True,False,False,False,False,True,False,False,False,True,Far,Close
4025000,3630,3,2,2,2,True,False,False,True,False,False,True,False,True,False,Close,Close
4025000,3460,3,2,1,1,True,False,True,False,True,False,False,False,False,False,Close,Close
4025000,5400,3,1,1,3,True,False,False,False,False,False,True,False,False,True,Far,Close
4007500,4500,3,1,2,0,False,False,True,False,True,False,True,False,False,False,Far,Close
4007500,3460,4,1,2,0,True,False,False,False,True,False,True,False,False,True,Close,Far
3990000,4100,4,1,1,0,False,False,True,False,False,False,False,True,True,False,Far,Close
3990000,6480,3,1,2,1,False,False,False,False,True,False,True,False,False,False,Far,Close
3990000,4500,3,2,2,0,False,False,True,False,True,False,True,False,False,False,Far,Far
3990000,3960,3,1,2,0,True,False,False,False,False,False,False,False,True,False,Close,Far
3990000,4050,2,1,2,0,True,True,True,False,False,True,False,True,True,False,Close,Close
3920000,7260,3,2,1,3,True,True,True,False,False,False,False,False,True,True,Far,Close
3920000,5500,4,1,2,0,True,True,True,False,False,False,True,False,False,False,Far,Close
3920000,3000,3,1,2,0,True,False,False,False,False,False,True,False,False,True,Far,Close
